name,resource_url,host,category,price,signal,receipt_mechanism,awesome_readme_line,description
melis.ai x402 Tools,https://agents.melis.ai,agents.melis.ai,security/audit,$0.0005-$0.01,security,xAudit response auditing + prompt-injection screening (23 audit-verified endpoints),222,23 audit-verified utility endpoints incl. xAudit response auditing and PromptGuard injection screening.
t54.ai secure-api,https://x402-secure-api.t54.ai,x402-secure-api.t54.ai,security,$0.01,security,server security assessment with risk scoring,0,Server security assessment / overall risk score (present in live catalog snapshot).
skill-audit / tokenguard / contract-guard,https://eltociear-skill-audit.hf.space,eltociear-skill-audit.hf.space,security/audit,$ per scan,security,MCP server security scanner + ERC-20 rug scanner + contract risk check,0,"Security scanners: MCP skill audit, token rug/safety, contract risk."
ShieldAPI MCP,https://www.npmjs.com/package/shieldapi-mcp,www.npmjs.com,security,$ per call,security,breach/domain/URL/skill scanning (9 tools),0,"9-tool security MCP (breach check, domain rep, skill audit)."
Daizyx402 Security Research,https://daizyx402.com:5402,daizyx402.com:5402,security,$ per call,security,AI-powered smart-contract security analysis,0,Smart contract security analysis API.
GPT55 x402,https://gpt55.558686.xyz,gpt55.558686.xyz,security/risk,$ per call,security,"wallet safety, EIP-712 risk decoding, approval auditing",0,Signing/approval risk decoding and approval auditing.
SolProbe / RugGuard / SolSignal,https://api.solprobe.xyz,api.solprobe.xyz,security/risk,$ per call,risk,"token risk scanners (A-F grades, wash-trade detection, rug heuristics)",0,Token/contract risk scanners.
OSF - Open Source Filings,https://osf-master-server.com,osf-master-server.com,provenance/compliance,$0.05-$0.50,provenance,every record ships a provenance URL back to its authoritative primary source,180,Provenance-stamped government/scientific data with source-traceable records.
GlobalAPI,https://globalapi.dev,globalapi.dev,compliance,$ per call,compliance,"OFAC/FCDO/UN screening, 43 compliance/macro endpoints",0,Compliance screening (sanctions) endpoints.
CYBERA Compliance API,https://compliance-api-ruddy.vercel.app,compliance-api-ruddy.vercel.app,compliance,$ per call,compliance,"VASP identification, crypto compliance risk scoring",0,Crypto compliance suite.
Sanctions Screening API,https://sanctions.hugen.tokyo,sanctions.hugen.tokyo,compliance,$ per call,compliance,"OFAC/EU/UN screening, 26,800+ entities, fuzzy matching",0,Sanctions screening compliance endpoint.
Melvea,https://api.melvea.com,api.melvea.com,provenance,$0.02-$0.10,provenance,every datum resolvable to a real published source (DOI/PMID),231,Citation-backed data with resolvable research provenance.
romefeller.app,https://romefeller.app,romefeller.app,compliance/provenance,$0.005-$0.15,compliance,PII scrub + document completeness verify + receipt extraction,217,"Document intelligence: PII scrub, completeness verification, invoice/receipt extraction."
PayPerByte oracles,https://x402.payperbyte.io/feeds,x402.payperbyte.io,oracle/blockchain-data,$0.05,oracle,address-reputation + sanctions decision oracles; per-byte feeds,622,"Decision oracles (address reputation, sanctions) with attested payloads."
Crest x402 Data,https://data.crestsystems.ai,data.crestsystems.ai,blockchain-data,$ per call,blockchain data,"wallet profiling, whale scoring, risk assessment",0,On-chain wallet profiling and market data.
Deepnets / OpenPulsechain / Rug Munch,https://api.deepnets.ai,api.deepnets.ai,blockchain-data,$ per call,blockchain data,"token intelligence, analytics, 117+ tools",0,On-chain token intelligence / analytics fleets.
Seneschal,https://seneschal.space,seneschal.space,blockchain-data/proof,$0.001-$0.02,state proof,HMAC-signed payment webhooks; on-chain proof via Solana anchors,227,Monero/Zcash view-key payment watching with HMAC-signed webhook events.
bitquery x402 Data API,https://docs.bitquery.io/docs/examples/x402/,docs.bitquery.io,blockchain-data,$ per call,transaction proof,query x402 payment transactions & server analytics on-chain,0,On-chain analytics over x402 payment transactions themselves (demand signal for settlement data).
