host,name,resource_url,category,signal,relevance,why,contact_route
swornly.luci.ws,swornly,https://swornly.luci.ws,receipt/verification,DIRECT,highest,HMAC-signed re-verifiable receipt per answer + free /receipts/verify endpoint,https://swornly.luci.ws/.well-known/x402 (public manifest / project site)
github.com,Mycelium Trails,https://github.com/giskard09/giskard-stack,receipt/audit,DIRECT,highest,signed trail: payment_hash + action_ref (SHA-256 commitment) + dual-chain anchor (Arbitrum+Base),https://github.com/.well-known/x402 (public manifest / project site)
x402.payperbyte.io,PayPerByte,https://x402.payperbyte.io/feeds,receipt/attestation,DIRECT,highest,"EIP-712 PayloadAttestation binds output bytes to signer; buyer re-derives keccak256, fails closed on tamper",https://x402.payperbyte.io/.well-known/x402 (public manifest / project site)
www.npmjs.com,@larkinsh/x402,https://www.npmjs.com/package/@larkinsh/x402,receipt/middleware,DIRECT,highest,Ed25519-signed receipts verifiable with only the public key,https://www.npmjs.com/.well-known/x402 (public manifest / project site)
www.npmjs.com,@tensorfeed/x402-base-mcp,https://www.npmjs.com/package/@tensorfeed/x402-base-mcp,receipt-verification,DIRECT,highest,verify on-chain that a USDC settlement matches a claimed x402 receipt (recipient+amount),https://www.npmjs.com/.well-known/x402 (public manifest / project site)
anchor-x402.com,anchor-x402,https://anchor-x402.com,attestation/anchoring,DIRECT,highest,signed attestations + dual-chain hash anchoring; signed markdown report + anchor proof,https://anchor-x402.com/.well-known/x402 (public manifest / project site)
pay.hergertsynthora.com,SYNTHORA md-extract,https://pay.hergertsynthora.com/service,attestation/output-binding,DIRECT,highest,Ed25519 attestation receipt: buyer verifies offline that output came from this mesh untampered,https://pay.hergertsynthora.com/.well-known/x402 (public manifest / project site)
intel.twzrd.xyz,TWZRD Agent Intel,https://intel.twzrd.xyz,attestation/trust,DIRECT,highest,signed twzrd.receipt.v5 trust receipts verifiable offline,https://intel.twzrd.xyz/.well-known/x402 (public manifest / project site)
api.trustboost.dev,TrustBoost PII Sanitizer,https://api.trustboost.dev,attestation/proof-of-execution,DIRECT,highest,every paid sanitization anchored on Solana via Helius; verify at /verify/{anchor_tx},https://api.trustboost.dev/.well-known/x402 (public manifest / project site)
signals.nsgoods.org,Kraken Crypto Signals,https://signals.nsgoods.org,signed-output/hash-chain,DIRECT,highest,ECDSA-signed responses + tamper-evident hash-chain track-record,https://signals.nsgoods.org/.well-known/x402 (public manifest / project site)
lionx402.com,LION,https://lionx402.com,attestation/output-binding,DIRECT,highest,"every response Ed25519-attested, verify offline",https://lionx402.com/.well-known/x402 (public manifest / project site)
www.stratalize.com,Stratalize,https://www.stratalize.com,signed-output,DIRECT,highest,Ed25519-signed outputs on every synthesis,https://www.stratalize.com/.well-known/x402 (public manifest / project site)
kjtirbnxxymeumycrhqv.supabase.co,AI Growth (verification),https://kjtirbnxxymeumycrhqv.supabase.co,proof-of-execution,DIRECT,highest,"timestamped proof-of-execution receipts (HTTP status, latency, phantom/simulation detection)",https://kjtirbnxxymeumycrhqv.supabase.co/.well-known/x402 (public manifest / project site)
github.com,Agent Passport System (APS),https://github.com/aeoess/agent-passport-system,receipt/attestation/governance,DIRECT,highest,signed receipts with per-condition attestation; scoped delegation,https://github.com/.well-known/x402 (public manifest / project site)
safeagent-production.up.railway.app,SafeAgent Execution Guard,https://safeagent-production.up.railway.app,receipt/audit,DIRECT,highest,crash-safe receipts + audit endpoint + audit trail by agent wallet (two-phase PENDING->COMMITTED),https://safeagent-production.up.railway.app/.well-known/x402 (public manifest / project site)
boundary-guard.vercel.app,Boundary Guard,https://boundary-guard.vercel.app,receipt/pre-action,DIRECT,highest,deterministic receipt before downstream writes/sends (allow/retry/block),https://boundary-guard.vercel.app/.well-known/x402 (public manifest / project site)
api.voidly.ai,Voidly Pay,https://api.voidly.ai/v1/pay,signed-envelope/facilitator,DIRECT,highest,Ed25519-signed envelopes + facilitator-signed quotes + public proof of reserves at /v1/pay/proof,https://api.voidly.ai/.well-known/x402 (public manifest / project site)
thehiveryiq.com,Hive Civilization,https://thehiveryiq.com,attestation/receipt,DIRECT,highest,verifiable Spectral receipts + ZK attestations across a 52-service fleet,https://thehiveryiq.com/.well-known/x402 (public manifest / project site)
logicnodes.io,LogicNodes,https://logicnodes.io,trust-hash/integrity,DIRECT,highest,"SHA-256 trust hashes on 619 deterministic microservices, 8 chains",https://logicnodes.io/.well-known/x402 (public manifest / project site)
n0brains.com,n0brains (/proof),https://n0brains.com,audit/proof,DIRECT,highest,"live auditable per-signal-type win-rate proof at /proof (forward returns, 95% CI)",https://n0brains.com/.well-known/x402 (public manifest / project site)
