name,resource_url,host,category,price,signal,receipt_mechanism,awesome_readme_line,description
swornly,https://swornly.luci.ws,swornly.luci.ws,receipt/verification,$0.005-$0.02,DIRECT,HMAC-signed re-verifiable receipt per answer + free /receipts/verify endpoint,455,"Deterministic signed-receipt tools; every answer returns an HMAC-signed, re-verifiable receipt. Closest product analogue to Paxiom (testnet)."
Mycelium Trails,https://github.com/giskard09/giskard-stack,github.com,receipt/audit,21 sats/trail,DIRECT,signed trail: payment_hash + action_ref (SHA-256 commitment) + dual-chain anchor (Arbitrum+Base),691,"Post-execution accountability receipts for x402 payments; binds payment to action, verifiable by anyone, for audits/disputes/insurance. Closest conceptual analogue to Paxiom."
PayPerByte,https://x402.payperbyte.io/feeds,x402.payperbyte.io,receipt/attestation,$0.05,DIRECT,"EIP-712 PayloadAttestation binds output bytes to signer; buyer re-derives keccak256, fails closed on tamper",622,Every paid response emits an EIP-712 PayloadAttestation binding output to signer; payment-to-output binding primitive.
@larkinsh/x402,https://www.npmjs.com/package/@larkinsh/x402,www.npmjs.com,receipt/middleware,n/a (npm),DIRECT,Ed25519-signed receipts verifiable with only the public key,300,Authorization middleware returning Ed25519-signed receipts; closest to Paxiom's SDK/middleware distribution model.
@tensorfeed/x402-base-mcp,https://www.npmjs.com/package/@tensorfeed/x402-base-mcp,www.npmjs.com,receipt-verification,n/a (npm),DIRECT,verify on-chain that a USDC settlement matches a claimed x402 receipt (recipient+amount),564,Read-only Base reader purpose-built to verify that a settlement matches a claimed x402 receipt. Direct competitor on the *verification* side.
anchor-x402,https://anchor-x402.com,anchor-x402.com,attestation/anchoring,$0.001-$7.77,DIRECT,signed attestations + dual-chain hash anchoring; signed markdown report + anchor proof,216,"16 services incl. signed attestations, dual-chain hash anchoring, verifiable signed RNG, on-chain anchored verdicts."
SYNTHORA md-extract,https://pay.hergertsynthora.com/service,pay.hergertsynthora.com,attestation/output-binding,$0.005,DIRECT,Ed25519 attestation receipt: buyer verifies offline that output came from this mesh untampered,243,Ships an Ed25519 attestation receipt per response - cryptographic chain-of-custody for scraped output. Output-binding analogue.
TWZRD Agent Intel,https://intel.twzrd.xyz,intel.twzrd.xyz,attestation/trust,$0.05,DIRECT,signed twzrd.receipt.v5 trust receipts verifiable offline,594,Signed offline-verifiable trust receipts (versioned receipt schema) - same 'signed receipt as a product' shape as Paxiom.
TrustBoost PII Sanitizer,https://api.trustboost.dev,api.trustboost.dev,attestation/proof-of-execution,$0.0149,DIRECT,every paid sanitization anchored on Solana via Helius; verify at /verify/{anchor_tx},235,"On-chain proof-of-execution per call, buyer-verifiable at a /verify endpoint. Proof-of-delivery analogue."
Kraken Crypto Signals,https://signals.nsgoods.org,signals.nsgoods.org,signed-output/hash-chain,$0.01-$0.10,DIRECT,ECDSA-signed responses + tamper-evident hash-chain track-record,241,Every response ECDSA-signed with a tamper-evident hash-chain; signed-response + integrity-chain analogue.
LION,https://lionx402.com,lionx402.com,attestation/output-binding,$ per call,DIRECT,"every response Ed25519-attested, verify offline",364,"20 compliance tools, every response Ed25519-attested and offline-verifiable."
Stratalize,https://www.stratalize.com,www.stratalize.com,signed-output,$0.02-$1.00,DIRECT,Ed25519-signed outputs on every synthesis,146,100+ intelligence tools with Ed25519-signed outputs on every synthesis.
AI Growth (verification),https://kjtirbnxxymeumycrhqv.supabase.co,kjtirbnxxymeumycrhqv.supabase.co,proof-of-execution,$0.02,DIRECT,"timestamped proof-of-execution receipts (HTTP status, latency, phantom/simulation detection)",182,Sells timestamped proof-of-execution receipts so agents can confirm an A2A service is real before paying. Verification-as-a-service.
Agent Passport System (APS),https://github.com/aeoess/agent-passport-system,github.com,receipt/attestation/governance,OSS,DIRECT,signed receipts with per-condition attestation; scoped delegation,544,Governance/delegation layer with signed receipts + per-condition attestation.
SafeAgent Execution Guard,https://safeagent-production.up.railway.app,safeagent-production.up.railway.app,receipt/audit,$0.001,DIRECT,crash-safe receipts + audit endpoint + audit trail by agent wallet (two-phase PENDING->COMMITTED),543,Exactly-once execution guard with crash-safe receipts and an audit trail keyed by agent wallet.
Boundary Guard,https://boundary-guard.vercel.app,boundary-guard.vercel.app,receipt/pre-action,n/a,DIRECT,deterministic receipt before downstream writes/sends (allow/retry/block),542,Pre-action checkpoint returning a deterministic receipt before an agent acts.
Voidly Pay,https://api.voidly.ai/v1/pay,api.voidly.ai,signed-envelope/facilitator,rail,DIRECT,Ed25519-signed envelopes + facilitator-signed quotes + public proof of reserves at /v1/pay/proof,342,"Payment rail with Ed25519-signed envelopes, facilitator-signed quotes (anti-MitM) and public proof of reserves."
Hive Civilization,https://thehiveryiq.com,thehiveryiq.com,attestation/receipt,free+paid,DIRECT,verifiable Spectral receipts + ZK attestations across a 52-service fleet,830,52-service fleet emitting verifiable 'Spectral receipts' plus ZK attestations.
LogicNodes,https://logicnodes.io,logicnodes.io,trust-hash/integrity,$ per call,DIRECT,"SHA-256 trust hashes on 619 deterministic microservices, 8 chains",0,619 microservices each returning a SHA-256 trust hash for output integrity.
n0brains (/proof),https://n0brains.com,n0brains.com,audit/proof,$0.005,DIRECT,"live auditable per-signal-type win-rate proof at /proof (forward returns, 95% CI)",232,Publishes an auditable per-signal win-rate proof endpoint - provenance/track-record proof.
presidio-hardened-x402,https://pypi.org/project/presidio-hardened-x402/,pypi.org,verification/hardening,OSS,DIRECT,pre-signing hardening: PII redaction + spending-policy + replay detection before payment is signed,547,Pre-signing middleware (fail-closed) over payment metadata; adjacent to receipt-integrity.
